Frame,Scene,Movement,Shot Type,Cluttered Scene,Scene content,Number of Persons,Number of Faces
0-119,1,static,none,high,Text,0,0
120-155,2,static,none,low,Black,0,0
156-200,3,static,Extreme Long Shot,high,School Outside,19,0
201-232,4,static,Medium Close Up,low,Greg and mother talk inside car,2,2
233-264,5,static,Medium Close Up,low,Greg and mother talk inside car,2,2
265-294,6,static,Long Shot,high,Greg exiting car,6,3
295-322,7,static,Medium Close Up,low,mother waving,1,1
323-363,8,content moving,Long Shot,high,Greg walking towards school entrance,15,2
364-407,9,static,Medium Close Up,low,mother talking,1,1
408-423,10,static,Medium Shot,medium,group of kids at table,6,5
424-438,11,static,Medium Shot,high,group of kids at table,7,6
439-460,12,content moving,Close Up,high,Greg at school entrance,8,1
461-504,13,content moving,none,medium,"20th century Fox, transition into comic drawing",0,0
505-543,14,camera moving,Point of View Shot,extreme,Greg entering school,15,1
544-580,15,content moving,Close Up,low,Greg looking overwhelmed  ,1,1
581-637,16,static,Medium Shot,medium,girl talking,1,1
638-679,17,both moving,Close Up,high,Greg walking through hall,8,1
680-739,18,camera moving,Medium Shot,medium,two boys at locker shaving face,3,2
740-785,19,zoom out,none,low,drawn text,0,0
786-804,20,static,Point of View Shot,medium,Roderic talking to Greg,2,1
805-834,21,both moving,Medium Shot,high,Greg in school haal,10,3
835-848,22,static,Medium Shot,extreme,kids in cafeteria ,13,2
849-900,23,content moving,Close Up,extreme,girl puts hand on chair zoom to girls face,11,2
901-950,24,static,Close Up,low,Roderic talking,1,1
951-997,25,static,Medium Close Up,medium,kid listening to brother,1,1
998-1053,26,static,Medium Close Up,low,father talking at dinner table,1,1
1054-1101,27,static,none,low,drawn text,0,0
1102-1121,28,static,none,low,comic,0,0
1122-1130,29,static,Close Up,low,comic transition to scene,1,1
1131-1206,30,static,Close Up,low,Greg an Rowley gaming,1,1
1207-1245,31,static,Close Up,low,Rowley gaming,1,1
1246-1271,32,static,Close Up,medium,kids exit bus,6,2
1272-1324,33,both moving,Medium Shot,medium,Greg and Rowley on school yard,8,2
1325-1352,34,both moving,Long Shot,medium,kids in front of school bus,7,3
1353-1421,35,static,Medium Shot,medium,Greg and Rowley on school yard,4,2
1422-1435,36,static,none,low,comic,0,0
1436-1449,37,static,Medium Shot,high,comic transition to scene,2,2
1450-1480,38,camera moving,Medium Shot,high,"Greg and Rowley talking, Greg holds up shirt ",2,2
1481-1518,39,static,Extreme Close Up,low,close up of shirt,2,2
1519-1570,40,camera moving,Medium Close Up,high,"Gred and Rowley arguing, Greg trashes shirt",2,2
1571-1585,41,static,none,low,comic,0,0
1586-1595,42,static,Long Shot,medium,comic transition to scene,4,3
1596-1618,43,camera moving,Long Shot,medium,girl in wrestling scene,4,3
1619-1647,44,static,Medium Shot,medium,Greg complains,3,3
1648-1663,45,content moving,Close up,low,aggressive face of girl ,1,1
1664-1685,46,content moving,Medium Shot,medium,girl knocks Greg down,5,4
1686-1696,47,static,none,low,comic,0,0
1697-1711,48,static,Close Up,low,comic transition to scene,3,1
1712-1721,49,static,Close Up,low,chirag shoping to stop,3,1
1722-1740,50,static,Point of View Shot,medium,Greg and Rowley attempting to touch cheese slice,3,2
1741-1762,51,static,Close Up,low,Chirag explaining cheese game,3,1
1763-1779,52,zoom,Extreme Close Up,low,close up: finger pointing on cheese,0,0
1780-1801,53,static,Bird Eye View,high,crowd of people running in different direcitons,15,0
1802-1811,54,static,none,low,comic,0,0
1812-1824,55,static,Point of View Shot,medium,comic transition to scene,6,1
1825-1870,56,static,Point of View Shot,medium,Fregley talking and showing belly,6,1
1871-1897,57,static,Close Up,medium,Greg and Rowley showing disguist ,6,4
1898-1944,58,static,Close Up,medium,close up: friend with glasses giggling,6,1
1945-1968,59,static,none,none,comic,0,0
1969-1977,60,content moving,Medium Shot,high,comic transition to scene,1,1
1978-2001,61,both moving,Medium Shot,high,Roderic angrily walking up stairs,1,1
2002-2026,62,static,Medium Shot,high,Greg and Rowley sit on floor and flinch,2,2
2027-2035,63,static,Medium Close Up,high,Roderic threatening and shouting,1,1
2036-2053,64,cscene moving,Medium Shot,high,Rowley grapping Roderics foot,2,2
2054-2066,65,scene moving,Bird Eye View,high,Greg trying to escape ,3,2
2067-2090,66,static,Worm Eye View,low,Roderic angry and disguisted,1,1
2091-2101,67,static,none,low,comic,0,0
2102-2110,68,static,Medium Close Up,high,comic transition to scene,2,2
2111-2119,69,static,Medium Close Up,high,Greg and Manny at table,2,2
2120-2135,70,static,Close Up,low,Manny showing full mouth,1,1
2136-2151,71,static,none,low,comic,0,0
2152-2167,72,static,none,low,comic transition to scene,1,1
2168-2181,73,static,Close Up,low,sports teacher talking,1,1
2182-2226,74,static,Point of View Shot,medium,group of cool kids on sports field listening,15,10
2227-2242,75,camera moving,Point of View Shot,high,scene transition,8,0
2243-2257,76,static,Point of View Shot,medium,group of boring kids on sports field listening,13,12
2258-2286,77,static,Medium Shot,high,boring kids undressing,10,2
2287-2349,78,static,Close Up,low,Chirag explaining,3,1
2350-2373,79,static,Close Up,low,Chiraq and Greg arguing,4,3
2374-2473,80,fairly static,Medium Close Up,medium,Rowley playing with his own belly,5,4
2474-2493,81,static,Medium Close Up,medium,Greg contemplaiting,4,2
2494-2496,82,blur,None,high,scene transition,0,0
2497-2525,83,scene moving,Medium Shot,high,Greg walking down aile in school like a cool kid,10,4
2526-2550,84,camera moving,Medium Close Up,medium,kids react astonished,6,3
2551-2570,85,camera moving,Medium Shot,high,"Greg sitting down in class, Rowley is greeting",8,3
2571-2575,86,static,Medium Shot,high,scene transition to comic,8,3
2576-2622,87,zoom out,none,medium,comic,0,0
2623-2626,88,zoom out,none,low,comic in diary,0,0
2627-2725,89,zoom out,Close Up,low,closing of diary,0,0
2726-2759,90,zoom out,none,low,drawn text,0,0
2760-2793,91,static,none,low,drawn test,0,0
2794-2816,92,static,none,low,black,0,0
