Timecode List:,00:00:13.580,00:00:27.861,00:00:52.686,00:01:07.701,00:01:14.308,00:01:19.813,00:01:21.248,00:01:23.083,00:01:25.719,00:01:28.722,00:01:30.724,00:02:43.663,00:02:47.667,00:04:02.476,00:04:07.981,00:04:26.333,00:04:27.601,00:04:28.902,00:04:29.936,00:04:31.104
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,407,00:00:13.580,13.580,407,00:00:13.580,13.580
2,407,00:00:13.580,13.580,835,00:00:27.861,27.861,428,00:00:14.281,14.281
3,835,00:00:27.861,27.861,1579,00:00:52.686,52.686,744,00:00:24.825,24.825
4,1579,00:00:52.686,52.686,2029,00:01:07.701,67.701,450,00:00:15.015,15.015
5,2029,00:01:07.701,67.701,2227,00:01:14.308,74.308,198,00:00:06.607,6.607
6,2227,00:01:14.308,74.308,2392,00:01:19.813,79.813,165,00:00:05.506,5.506
7,2392,00:01:19.813,79.813,2435,00:01:21.248,81.248,43,00:00:01.435,1.435
8,2435,00:01:21.248,81.248,2490,00:01:23.083,83.083,55,00:00:01.835,1.835
9,2490,00:01:23.083,83.083,2569,00:01:25.719,85.719,79,00:00:02.636,2.636
10,2569,00:01:25.719,85.719,2659,00:01:28.722,88.722,90,00:00:03.003,3.003
11,2659,00:01:28.722,88.722,2719,00:01:30.724,90.724,60,00:00:02.002,2.002
12,2719,00:01:30.724,90.724,4905,00:02:43.663,163.663,2186,00:01:12.940,72.940
13,4905,00:02:43.663,163.663,5025,00:02:47.667,167.667,120,00:00:04.004,4.004
14,5025,00:02:47.667,167.667,7267,00:04:02.476,242.476,2242,00:01:14.808,74.808
15,7267,00:04:02.476,242.476,7432,00:04:07.981,247.981,165,00:00:05.506,5.506
16,7432,00:04:07.981,247.981,7982,00:04:26.333,266.333,550,00:00:18.352,18.352
17,7982,00:04:26.333,266.333,8020,00:04:27.601,267.601,38,00:00:01.268,1.268
18,8020,00:04:27.601,267.601,8059,00:04:28.902,268.902,39,00:00:01.301,1.301
19,8059,00:04:28.902,268.902,8090,00:04:29.936,269.936,31,00:00:01.034,1.034
20,8090,00:04:29.936,269.936,8125,00:04:31.104,271.104,35,00:00:01.168,1.168
21,8125,00:04:31.104,271.104,8220,00:04:34.274,274.274,95,00:00:03.170,3.170
